INSTANCE,HH,MODEL,SIZE
random_28_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_28_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_28_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_28_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_28_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_29_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_29_25_50.vcp,7,GaussianNB(),VCP-Training-50NAs
random_29_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_29_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_29_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_29_75_50.vcp,17,GaussianNB(),VCP-Training-50NAs
random_2_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_2_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_2_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_2_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_2_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_2_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_30_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_30_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_30_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_30_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_30_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_30_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_31_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_31_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_31_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_31_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_31_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_31_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_32_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_32_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_32_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_32_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_32_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_32_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_33_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_33_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_33_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_33_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_33_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_33_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_34_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_34_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_34_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_34_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_34_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_34_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_35_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_35_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_35_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_35_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_35_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_35_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_36_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_36_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_36_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_36_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_36_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_36_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_37_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_37_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_37_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_37_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_37_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_37_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_38_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_38_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_38_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_38_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_38_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_38_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_39_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_39_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_39_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_39_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_39_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_39_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_3_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_3_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_3_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_3_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_3_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_3_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_40_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_40_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_40_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_40_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_40_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_40_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_41_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_41_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_41_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_41_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_41_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_41_75_50.vcp,17,GaussianNB(),VCP-Training-50NAs
random_42_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_42_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_42_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_42_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_42_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_42_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_43_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_43_25_50.vcp,10,GaussianNB(),VCP-Training-50NAs
random_43_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_43_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_43_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_43_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_44_25_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_44_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_44_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_44_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_44_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_44_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_45_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_45_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_45_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_45_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_45_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_45_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_46_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_46_25_50.vcp,7,GaussianNB(),VCP-Training-50NAs
random_46_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_46_50_50.vcp,15,GaussianNB(),VCP-Training-50NAs
random_46_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_46_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_47_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_47_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_47_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_47_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_47_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_47_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_48_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_48_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_48_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_48_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_48_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_48_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_49_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_49_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_49_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_49_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_49_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_49_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_4_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_4_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_4_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_4_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_4_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_4_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_50_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_50_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_50_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_50_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_50_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_50_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_51_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_51_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_51_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_51_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_51_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_51_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_52_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_52_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_52_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_52_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_52_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_52_75_50.vcp,17,GaussianNB(),VCP-Training-50NAs
random_53_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_53_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_53_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_53_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_53_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_53_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_54_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_54_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_54_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_54_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_54_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_54_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_55_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_55_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_55_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_55_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_55_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_55_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_56_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_56_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_56_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_56_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_56_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_56_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_57_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_57_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_57_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_57_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_57_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_57_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_58_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_58_25_50.vcp,7,GaussianNB(),VCP-Training-50NAs
random_58_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_58_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_58_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_58_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_59_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_59_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_59_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_59_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_59_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_59_75_50.vcp,17,GaussianNB(),VCP-Training-50NAs
random_5_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_5_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_5_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_5_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_5_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_5_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_60_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_60_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_60_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_60_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_60_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_60_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_61_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_61_25_50.vcp,7,GaussianNB(),VCP-Training-50NAs
random_61_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_61_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_61_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_61_75_50.vcp,17,GaussianNB(),VCP-Training-50NAs
random_62_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_62_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_62_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_62_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_62_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_62_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_63_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_63_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_63_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_63_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_63_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_63_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_64_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_64_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_64_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_64_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_64_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_64_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_65_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_65_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_65_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_65_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_65_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_65_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_66_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_66_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_66_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_66_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_66_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_66_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_67_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_67_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_67_50_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_67_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_67_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_67_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_68_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_68_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_68_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_68_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_68_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_68_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_69_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_69_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_69_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_69_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_69_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_69_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_6_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_6_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_6_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_6_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_6_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_6_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_70_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_70_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_70_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_70_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_70_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_70_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_71_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_71_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_71_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_71_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_71_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_71_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_72_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_72_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_72_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_72_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_72_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_72_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_73_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_73_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_73_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_73_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_73_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_73_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_74_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_74_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_74_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_74_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_74_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_74_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_75_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_75_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_75_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_75_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_75_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_75_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_76_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_76_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_76_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_76_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_76_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_76_75_50.vcp,17,GaussianNB(),VCP-Training-50NAs
random_77_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_77_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_77_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_77_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_77_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_77_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_78_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_78_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_78_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_78_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_78_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_78_75_50.vcp,21,GaussianNB(),VCP-Training-50NAs
random_79_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_79_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_79_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_79_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_79_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_79_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_7_25_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_7_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_7_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_7_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_7_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_7_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_80_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_80_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_80_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_80_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_80_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_80_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_81_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_81_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_81_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_81_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_81_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_81_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_82_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_82_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_82_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_82_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_82_75_25.vcp,13,GaussianNB(),VCP-Training-50NAs
random_82_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_83_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_83_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_83_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_83_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_83_75_25.vcp,10,GaussianNB(),VCP-Training-50NAs
random_83_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_84_25_25.vcp,5,GaussianNB(),VCP-Training-50NAs
random_84_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_84_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_84_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_84_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_84_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_85_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_85_25_50.vcp,7,GaussianNB(),VCP-Training-50NAs
random_85_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_85_50_50.vcp,12,GaussianNB(),VCP-Training-50NAs
random_85_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_85_75_50.vcp,20,GaussianNB(),VCP-Training-50NAs
random_86_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_86_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_86_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_86_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_86_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_86_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_87_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_87_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_87_50_25.vcp,9,GaussianNB(),VCP-Training-50NAs
random_87_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
random_87_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_87_75_50.vcp,18,GaussianNB(),VCP-Training-50NAs
random_88_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_88_25_50.vcp,9,GaussianNB(),VCP-Training-50NAs
random_88_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_88_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_88_75_25.vcp,11,GaussianNB(),VCP-Training-50NAs
random_88_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_89_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_89_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_89_50_25.vcp,7,GaussianNB(),VCP-Training-50NAs
random_89_50_50.vcp,13,GaussianNB(),VCP-Training-50NAs
random_89_75_25.vcp,12,GaussianNB(),VCP-Training-50NAs
random_89_75_50.vcp,19,GaussianNB(),VCP-Training-50NAs
random_8_25_25.vcp,6,GaussianNB(),VCP-Training-50NAs
random_8_25_50.vcp,8,GaussianNB(),VCP-Training-50NAs
random_8_50_25.vcp,8,GaussianNB(),VCP-Training-50NAs
random_8_50_50.vcp,14,GaussianNB(),VCP-Training-50NAs
